Benchmark Process Environment Information:
Runtime=.NET 6.0.10 (6.0.1022.47605), X64 RyuJIT
GC=Concurrent Workstation

Benchmark,Test,NominalGasCost,RunsCount,TimeNs,MemGcOps,MemAllocPerOp
Blake2fBenchmark,input_param_scalar_128_gas_128.csv,128,3,960.2018992106119,524288,88
Blake2fBenchmark,input_param_scalar_16_gas_16.csv,16,3,166.8083111445109,4194304,88
Blake2fBenchmark,input_param_scalar_1_gas_1.csv,1,3,51.189870635668434,16777216,88
Blake2fBenchmark,input_param_scalar_2_gas_2.csv,2,3,58.1352432568868,8388608,88
Blake2fBenchmark,input_param_scalar_32_gas_32.csv,32,3,275.46273867289227,2097152,88
Blake2fBenchmark,input_param_scalar_3_gas_3.csv,3,3,91.22781952222188,8388608,88
Blake2fBenchmark,input_param_scalar_4_gas_4.csv,4,3,108.9112122853597,8388608,88
Blake2fBenchmark,input_param_scalar_64_gas_64.csv,64,3,569.1153208414713,1048576,88
Blake2fBenchmark,input_param_scalar_8_gas_8.csv,8,3,113.36522499720256,8388608,88
Bn256AddBenchmark,input_param_scalar_0_gas_150.csv,150,3,3464.9304707845054,262144,88
Bn256MulBenchmark,input_param_scalar_0_gas_6000.csv,6000,3,119836.6943359375,4096,88
Bn256PairingBenchmark,input_param_scalar_1_gas_79000.csv,79000,3,1916127.6692708333,512,273
Bn256PairingBenchmark,input_param_scalar_2_gas_113000.csv,113000,3,2826827.2135416665,256,466
Bn256PairingBenchmark,input_param_scalar_4_gas_181000.csv,181000,3,4609362.760416667,128,851
Bn256PairingBenchmark,input_param_scalar_8_gas_317000.csv,317000,3,8305799.21875,64,1622
EcRecoverBenchmark,CallEcrecoverUnrecoverableKey,3000,3,5869.224548339844,131072,296
EcRecoverBenchmark,InvalidHighV-bits-1,3000,3,33.46241017182668,16777216,80
EcRecoverBenchmark,InvalidHighV-bits-2,3000,3,33.36914082368215,16777216,80
EcRecoverBenchmark,InvalidHighV-bits-3,3000,3,34.981064995129906,16777216,80
EcRecoverBenchmark,ValidKey,3000,3,76122.67659505208,8192,424
PointEvaluationBenchmark,fuzzcorp-0,50000,3,1374372.2005208333,512,185
PointEvaluationBenchmark,fuzzcorp-1,50000,3,1313977.4739583333,512,185
PointEvaluationBenchmark,fuzzcorp-10,50000,3,1328183.2682291667,512,185
