goos: windows
goarch: amd64
pkg: github.com/ethereum/go-ethereum/core/vm/runtime
cpu: 11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz
BenchmarkBytecodePrecompile/EcRecover/ValidKey-16         	   12442	     89469 ns/op	      3000 nominalGas/op	    7817 B/op	      79 allocs/op
BenchmarkBytecodePrecompile/EcRecover/ValidKey-16         	   12452	     97163 ns/op	      3000 nominalGas/op	    7818 B/op	      79 allocs/op
BenchmarkBytecodePrecompile/EcRecover/ValidKey-16         	   13089	     91839 ns/op	      3000 nominalGas/op	    7817 B/op	      79 allocs/op
BenchmarkBytecodePrecompile/EcRecover/ValidKey-16         	   12135	     93723 ns/op	      3000 nominalGas/op	    7816 B/op	      79 allocs/op
BenchmarkBytecodePrecompile/EcRecover/ValidKey-16         	   12937	     96373 ns/op	      3000 nominalGas/op	    7815 B/op	      79 allocs/op
BenchmarkBytecodePrecompile/EcRecover/ValidKey-16         	   12722	     92226 ns/op	      3000 nominalGas/op	    7815 B/op	      79 allocs/op
BenchmarkBytecodePrecompile/EcRecover/ValidKey-16         	   13246	     92811 ns/op	      3000 nominalGas/op	    7816 B/op	      79 allocs/op
BenchmarkBytecodePrecompile/EcRecover/ValidKey-16         	   13442	     89348 ns/op	      3000 nominalGas/op	    7818 B/op	      79 allocs/op
BenchmarkBytecodePrecompile/EcRecover/ValidKey-16         	   12422	     96732 ns/op	      3000 nominalGas/op	    7817 B/op	      79 allocs/op
BenchmarkBytecodePrecompile/EcRecover/ValidKey-16         	   12919	     92868 ns/op	      3000 nominalGas/op	    7814 B/op	      79 allocs/op
BenchmarkBytecodePrecompile/Bn256Add/Bn256Add-Valid-16    	   32458	     37497 ns/op	       150.0 nominalGas/op	    7832 B/op	      88 allocs/op
BenchmarkBytecodePrecompile/Bn256Add/Bn256Add-Valid-16    	   16285	     83387 ns/op	       150.0 nominalGas/op	    7831 B/op	      88 allocs/op
BenchmarkBytecodePrecompile/Bn256Add/Bn256Add-Valid-16    	   15564	     68451 ns/op	       150.0 nominalGas/op	    7832 B/op	      88 allocs/op
BenchmarkBytecodePrecompile/Bn256Add/Bn256Add-Valid-16    	   15906	     72376 ns/op	       150.0 nominalGas/op	    7834 B/op	      88 allocs/op
BenchmarkBytecodePrecompile/Bn256Add/Bn256Add-Valid-16    	   16574	     71407 ns/op	       150.0 nominalGas/op	    7833 B/op	      88 allocs/op
BenchmarkBytecodePrecompile/Bn256Add/Bn256Add-Valid-16    	   17214	     69499 ns/op	       150.0 nominalGas/op	    7833 B/op	      88 allocs/op
BenchmarkBytecodePrecompile/Bn256Add/Bn256Add-Valid-16    	   17566	     70862 ns/op	       150.0 nominalGas/op	    7833 B/op	      88 allocs/op
BenchmarkBytecodePrecompile/Bn256Add/Bn256Add-Valid-16    	   17612	     70644 ns/op	       150.0 nominalGas/op	    7832 B/op	      88 allocs/op
BenchmarkBytecodePrecompile/Bn256Add/Bn256Add-Valid-16    	   17342	     68501 ns/op	       150.0 nominalGas/op	    7834 B/op	      88 allocs/op
BenchmarkBytecodePrecompile/Bn256Add/Bn256Add-Valid-16    	   16642	     72139 ns/op	       150.0 nominalGas/op	    7835 B/op	      88 allocs/op
BenchmarkBytecodePrecompile/Bn256Mul/Bn256Mul-Valid-16    	    4784	    212427 ns/op	      6000 nominalGas/op	    8506 B/op	     100 allocs/op
BenchmarkBytecodePrecompile/Bn256Mul/Bn256Mul-Valid-16    	    4964	    209261 ns/op	      6000 nominalGas/op	    8507 B/op	     100 allocs/op
BenchmarkBytecodePrecompile/Bn256Mul/Bn256Mul-Valid-16    	    6564	    203550 ns/op	      6000 nominalGas/op	    8504 B/op	     100 allocs/op
BenchmarkBytecodePrecompile/Bn256Mul/Bn256Mul-Valid-16    	    6441	    195157 ns/op	      6000 nominalGas/op	    8506 B/op	     100 allocs/op
BenchmarkBytecodePrecompile/Bn256Mul/Bn256Mul-Valid-16    	    8322	    205436 ns/op	      6000 nominalGas/op	    8506 B/op	     100 allocs/op
BenchmarkBytecodePrecompile/Bn256Mul/Bn256Mul-Valid-16    	    5962	    212441 ns/op	      6000 nominalGas/op	    8506 B/op	     100 allocs/op
BenchmarkBytecodePrecompile/Bn256Mul/Bn256Mul-Valid-16    	    5798	    207228 ns/op	      6000 nominalGas/op	    8503 B/op	     100 allocs/op
BenchmarkBytecodePrecompile/Bn256Mul/Bn256Mul-Valid-16    	    6630	    190473 ns/op	      6000 nominalGas/op	    8504 B/op	     100 allocs/op
BenchmarkBytecodePrecompile/Bn256Mul/Bn256Mul-Valid-16    	    5689	    189462 ns/op	      6000 nominalGas/op	    8504 B/op	     100 allocs/op
BenchmarkBytecodePrecompile/Bn256Mul/Bn256Mul-Valid-16    	    5582	    208393 ns/op	      6000 nominalGas/op	    8502 B/op	     100 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-1-16         	     487	   2619293 ns/op	     79000 nominalGas/op	   62860 B/op	     574 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-1-16         	     472	   2425597 ns/op	     79000 nominalGas/op	   62852 B/op	     574 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-1-16         	     512	   2803473 ns/op	     79000 nominalGas/op	   62884 B/op	     574 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-1-16         	     532	   2535109 ns/op	     79000 nominalGas/op	   62854 B/op	     574 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-1-16         	     655	   1835888 ns/op	     79000 nominalGas/op	   62855 B/op	     574 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-1-16         	     627	   1801695 ns/op	     79000 nominalGas/op	   62860 B/op	     574 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-1-16         	     678	   1733800 ns/op	     79000 nominalGas/op	   62839 B/op	     574 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-1-16         	     690	   1801357 ns/op	     79000 nominalGas/op	   62878 B/op	     574 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-1-16         	     584	   1887622 ns/op	     79000 nominalGas/op	   62851 B/op	     574 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-1-16         	     703	   1776229 ns/op	     79000 nominalGas/op	   62859 B/op	     574 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-2-16         	     482	   2589339 ns/op	    113000 nominalGas/op	  112538 B/op	    1053 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-2-16         	     408	   2816251 ns/op	    113000 nominalGas/op	  112551 B/op	    1053 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-2-16         	     397	   2691223 ns/op	    113000 nominalGas/op	  112549 B/op	    1053 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-2-16         	     440	   2566205 ns/op	    113000 nominalGas/op	  112563 B/op	    1053 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-2-16         	     450	   2810577 ns/op	    113000 nominalGas/op	  112547 B/op	    1053 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-2-16         	     438	   2839685 ns/op	    113000 nominalGas/op	  112564 B/op	    1053 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-2-16         	     456	   2615764 ns/op	    113000 nominalGas/op	  112552 B/op	    1053 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-2-16         	     459	   2828579 ns/op	    113000 nominalGas/op	  112542 B/op	    1053 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-2-16         	     433	   2779138 ns/op	    113000 nominalGas/op	  112546 B/op	    1053 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-2-16         	     446	   2645430 ns/op	    113000 nominalGas/op	  112561 B/op	    1053 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-4-16         	     279	   4529345 ns/op	    181000 nominalGas/op	  211800 B/op	    2008 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-4-16         	     254	   4675666 ns/op	    181000 nominalGas/op	  211755 B/op	    2008 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-4-16         	     266	   4355308 ns/op	    181000 nominalGas/op	  211770 B/op	    2008 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-4-16         	     272	   4704989 ns/op	    181000 nominalGas/op	  211782 B/op	    2009 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-4-16         	     260	   4574776 ns/op	    181000 nominalGas/op	  211821 B/op	    2008 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-4-16         	     291	   4476033 ns/op	    181000 nominalGas/op	  211757 B/op	    2008 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-4-16         	     264	   4655602 ns/op	    181000 nominalGas/op	  211747 B/op	    2008 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-4-16         	     260	   4458663 ns/op	    181000 nominalGas/op	  211796 B/op	    2008 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-4-16         	     266	   4424380 ns/op	    181000 nominalGas/op	  211843 B/op	    2009 allocs/op
