goos: windows
goarch: amd64
pkg: github.com/ethereum/go-ethereum/core/vm
cpu: 11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz
BenchmarkPrecompiledEcrecover/-Gas=3000-16            	   24861	     49246 ns/op	      3000 gas/op	        60.91 mgas/s	     800 B/op	       7 allocs/op
BenchmarkPrecompiledSha256/128-Gas=108-16             	 2653654	       455.9 ns/op	       108.0 gas/op	       236.9 mgas/s	      32 B/op	       1 allocs/op
BenchmarkPrecompiledRipeMD/128-Gas=1080-16            	 1370458	       886.4 ns/op	      1080 gas/op	      1218 mgas/s	      56 B/op	       2 allocs/op
BenchmarkPrecompiledIdentity/128-Gas=27-16            	28951590	        55.17 ns/op	        27.00 gas/op	       489.4 mgas/s	     128 B/op	       1 allocs/op
BenchmarkPrecompiledModExp/eip_example1-Gas=13056-16  	   42948	     25437 ns/op	     13056 gas/op	       513.3 mgas/s	    2673 B/op	      39 allocs/op
BenchmarkPrecompiledModExp/eip_example2-Gas=13056-16  	 1619055	       815.8 ns/op	     13056 gas/op	     16004 mgas/s	     688 B/op	      15 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-square-Gas=204-16         	  984558	      1778 ns/op	       204.0 gas/op	       114.7 mgas/s	    1176 B/op	      20 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-qube-Gas=204-16           	  640006	      2250 ns/op	       204.0 gas/op	        90.68 mgas/s	    1465 B/op	      21 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-pow0x10001-Gas=3276-16    	  124351	     10366 ns/op	      3276 gas/op	       316.0 mgas/s	    1961 B/op	      24 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-square-Gas=665-16         	  432206	      2993 ns/op	       665.0 gas/op	       222.2 mgas/s	    1849 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-qube-Gas=665-16           	  277280	      4200 ns/op	       665.0 gas/op	       158.3 mgas/s	    2393 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-2-pow0x10001-Gas=10649-16   	   55591	     21574 ns/op	     10649 gas/op	       493.6 mgas/s	    3290 B/op	      29 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-square-Gas=1894-16        	  241744	      5387 ns/op	      1894 gas/op	       351.6 mgas/s	    2906 B/op	      25 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-qube-Gas=1894-16          	  135613	      9150 ns/op	      1894 gas/op	       207.0 mgas/s	    4123 B/op	      26 allocs/op
