goos: windows
goarch: amd64
pkg: github.com/ethereum/go-ethereum/core/vm
cpu: 11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz
BenchmarkPrecompiledPointEvaluation/pointEvaluation1-Gas=50000-16         	    1208	   1006353 ns/op	     50000 gas/op	        49.68 mgas/s	    6877 B/op	      58 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-0-Gas=50000-16           	    8822	    134058 ns/op	     50000 gas/op	       373.0 mgas/s	     960 B/op	      17 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-1-Gas=50000-16           	    1192	   1000779 ns/op	     50000 gas/op	        49.96 mgas/s	    6895 B/op	      59 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-2-Gas=50000-16           	    8474	    135404 ns/op	     50000 gas/op	       369.3 mgas/s	     961 B/op	      17 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-3-Gas=50000-16           	    1075	   1112749 ns/op	     50000 gas/op	        44.93 mgas/s	    7032 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-4-Gas=50000-16           	    1054	   1130710 ns/op	     50000 gas/op	        44.22 mgas/s	    7080 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-5-Gas=50000-16           	 5555064	       211.8 ns/op	     50000 gas/op	    236084 mgas/s	      16 B/op	       1 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-5-b-Gas=50000-16         	   17859	     65785 ns/op	     50000 gas/op	       760.0 mgas/s	     592 B/op	      11 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-6-Gas=50000-16           	    1096	   1162970 ns/op	     50000 gas/op	        42.99 mgas/s	    7079 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-7-Gas=50000-16           	    1292	   1016703 ns/op	     50000 gas/op	        49.17 mgas/s	    6426 B/op	      54 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-8-Gas=50000-16           	    1111	   1028869 ns/op	     50000 gas/op	        48.59 mgas/s	    6423 B/op	      54 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-9-Gas=50000-16           	     856	   1339682 ns/op	     50000 gas/op	        37.32 mgas/s	    7082 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-10-Gas=50000-16          	     854	   1322234 ns/op	     50000 gas/op	        37.81 mgas/s	    7034 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-11-Gas=50000-16          	    7700	    153741 ns/op	     50000 gas/op	       325.2 mgas/s	     961 B/op	      17 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-12-Gas=50000-16          	    6474	    158305 ns/op	     50000 gas/op	       315.8 mgas/s	     961 B/op	      17 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-13-Gas=50000-16          	     868	   1259202 ns/op	     50000 gas/op	        39.70 mgas/s	    7082 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-14-Gas=50000-16          	   16032	     73138 ns/op	     50000 gas/op	       683.6 mgas/s	     592 B/op	      11 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-15-Gas=50000-16          	     980	   1208015 ns/op	     50000 gas/op	        41.39 mgas/s	    7080 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-16-Gas=50000-16          	    1032	   1117334 ns/op	     50000 gas/op	        44.74 mgas/s	    6897 B/op	      59 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-17-Gas=50000-16          	    7486	    144823 ns/op	     50000 gas/op	       345.2 mgas/s	     961 B/op	      17 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-18-Gas=50000-16          	     900	   1268604 ns/op	     50000 gas/op	        39.41 mgas/s	    6969 B/op	      59 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-19-Gas=50000-16          	    1195	   1015815 ns/op	     50000 gas/op	        49.22 mgas/s	    6423 B/op	      54 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-20-Gas=50000-16          	    7982	    156770 ns/op	     50000 gas/op	       318.9 mgas/s	     961 B/op	      17 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-21-Gas=50000-16          	    7999	    153063 ns/op	     50000 gas/op	       326.7 mgas/s	     961 B/op	      17 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-22-Gas=50000-16          	     958	   1242541 ns/op	     50000 gas/op	        40.24 mgas/s	    7081 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-23-Gas=50000-16          	     908	   1277562 ns/op	     50000 gas/op	        39.13 mgas/s	    7081 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-24-Gas=50000-16          	    1098	   1158147 ns/op	     50000 gas/op	        43.17 mgas/s	    6712 B/op	      56 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-25-Gas=50000-16          	     955	   1243051 ns/op	     50000 gas/op	        40.22 mgas/s	    7081 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-26-Gas=50000-16          	    1116	   1018290 ns/op	     50000 gas/op	        49.10 mgas/s	    6424 B/op	      54 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-27-Gas=50000-16          	     986	   1126932 ns/op	     50000 gas/op	        44.36 mgas/s	    6896 B/op	      59 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-28-Gas=50000-16          	     932	   1219651 ns/op	     50000 gas/op	        40.99 mgas/s	    6897 B/op	      59 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-29-Gas=50000-16          	 1982769	       591.7 ns/op	     50000 gas/op	     84505 mgas/s	     176 B/op	       4 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-30-Gas=50000-16          	    7549	    147050 ns/op	     50000 gas/op	       340.0 mgas/s	     961 B/op	      17 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-31-Gas=50000-16          	     873	   1316063 ns/op	     50000 gas/op	        37.99 mgas/s	    7034 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-32-Gas=50000-16          	   14973	     74529 ns/op	     50000 gas/op	       670.9 mgas/s	     592 B/op	      11 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-33-Gas=50000-16          	    7758	    148348 ns/op	     50000 gas/op	       336.8 mgas/s	     961 B/op	      17 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-34-Gas=50000-16          	 5159454	       252.4 ns/op	     50000 gas/op	    198137 mgas/s	      16 B/op	       1 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-34-b-Gas=50000-16        	   16460	     72371 ns/op	     50000 gas/op	       690.9 mgas/s	     592 B/op	      11 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-35-Gas=50000-16          	     944	   1216107 ns/op	     50000 gas/op	        41.11 mgas/s	    7033 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-36-Gas=50000-16          	    7232	    148026 ns/op	     50000 gas/op	       337.8 mgas/s	     961 B/op	      17 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-37-Gas=50000-16          	   15902	     73939 ns/op	     50000 gas/op	       676.2 mgas/s	     592 B/op	      11 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-38-Gas=50000-16          	     932	   1299012 ns/op	     50000 gas/op	        38.49 mgas/s	    7033 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-39-Gas=50000-16          	     990	   1211378 ns/op	     50000 gas/op	        41.27 mgas/s	    6969 B/op	      59 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-40-Gas=50000-16          	    8556	    147262 ns/op	     50000 gas/op	       339.5 mgas/s	     961 B/op	      17 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-41-Gas=50000-16          	     961	   1107568 ns/op	     50000 gas/op	        45.14 mgas/s	    6897 B/op	      59 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-42-Gas=50000-16          	    1045	   1139905 ns/op	     50000 gas/op	        43.86 mgas/s	    6896 B/op	      59 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-43-Gas=50000-16          	     906	   1188529 ns/op	     50000 gas/op	        42.06 mgas/s	    6970 B/op	      59 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-44-Gas=50000-16          	     910	   1287782 ns/op	     50000 gas/op	        38.82 mgas/s	    7081 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-45-Gas=50000-16          	    7498	    145780 ns/op	     50000 gas/op	       343.0 mgas/s	     961 B/op	      17 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-46-Gas=50000-16          	     978	   1296655 ns/op	     50000 gas/op	        38.56 mgas/s	    7080 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-47-Gas=50000-16          	    1122	    992265 ns/op	     50000 gas/op	        50.38 mgas/s	    6424 B/op	      54 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-48-Gas=50000-16          	    1086	   1149773 ns/op	     50000 gas/op	        43.48 mgas/s	    6968 B/op	      59 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-49-Gas=50000-16          	     962	   1214230 ns/op	     50000 gas/op	        41.17 mgas/s	    7032 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-50-Gas=50000-16          	    1026	   1193289 ns/op	     50000 gas/op	        41.90 mgas/s	    6969 B/op	      59 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-51-Gas=50000-16          	     799	   1310378 ns/op	     50000 gas/op	        38.15 mgas/s	    7083 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-52-Gas=50000-16          	    7080	    160411 ns/op	     50000 gas/op	       311.7 mgas/s	     961 B/op	      17 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-53-Gas=50000-16          	    6184	    225752 ns/op	     50000 gas/op	       221.5 mgas/s	     961 B/op	      17 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-54-Gas=50000-16          	     601	   2212622 ns/op	     50000 gas/op	        22.59 mgas/s	    6967 B/op	      59 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-55-Gas=50000-16          	    5431	    233353 ns/op	     50000 gas/op	       214.3 mgas/s	     961 B/op	      17 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-56-Gas=50000-16          	     733	   1776384 ns/op	     50000 gas/op	        28.14 mgas/s	    6900 B/op	      59 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-57-Gas=50000-16          	     774	   1639270 ns/op	     50000 gas/op	        30.49 mgas/s	    6427 B/op	      54 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-58-Gas=50000-16          	     565	   2208714 ns/op	     50000 gas/op	        22.63 mgas/s	    7040 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-59-Gas=50000-16          	    4970	    224857 ns/op	     50000 gas/op	       222.4 mgas/s	     961 B/op	      17 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-60-Gas=50000-16          	     626	   2187050 ns/op	     50000 gas/op	        22.86 mgas/s	    7086 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-61-Gas=50000-16          	     511	   2005936 ns/op	     50000 gas/op	        24.92 mgas/s	    7080 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-62-Gas=50000-16          	     642	   1972317 ns/op	     50000 gas/op	        25.35 mgas/s	    7079 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-63-Gas=50000-16          	     682	   2383489 ns/op	     50000 gas/op	        20.97 mgas/s	    7085 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-64-Gas=50000-16          	     610	   2144302 ns/op	     50000 gas/op	        23.31 mgas/s	    7086 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-65-Gas=50000-16          	     463	   2295884 ns/op	     50000 gas/op	        21.75 mgas/s	    7033 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-66-Gas=50000-16          	    7309	    155224 ns/op	     50000 gas/op	       322.1 mgas/s	     608 B/op	      11 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-67-Gas=50000-16          	     596	   2073452 ns/op	     50000 gas/op	        24.11 mgas/s	    6967 B/op	      59 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-68-Gas=50000-16          	    4948	    228569 ns/op	     50000 gas/op	       218.8 mgas/s	     961 B/op	      17 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-69-Gas=50000-16          	     621	   2098936 ns/op	     50000 gas/op	        23.82 mgas/s	    7085 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-70-Gas=50000-16          	     714	   1609394 ns/op	     50000 gas/op	        31.06 mgas/s	    6421 B/op	      54 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-71-Gas=50000-16          	     590	   1967048 ns/op	     50000 gas/op	        25.41 mgas/s	    7031 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-72-Gas=50000-16          	    4137	    251543 ns/op	     50000 gas/op	       198.8 mgas/s	     961 B/op	      17 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-73-Gas=50000-16          	     692	   1834515 ns/op	     50000 gas/op	        27.25 mgas/s	    7085 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-74-Gas=50000-16          	     636	   2054282 ns/op	     50000 gas/op	        24.33 mgas/s	    7078 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-75-Gas=50000-16          	     496	   2241140 ns/op	     50000 gas/op	        22.31 mgas/s	    6969 B/op	      59 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-76-Gas=50000-16          	     562	   1961760 ns/op	     50000 gas/op	        25.46 mgas/s	    7079 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-77-Gas=50000-16          	     780	   1872347 ns/op	     50000 gas/op	        26.70 mgas/s	    6900 B/op	      59 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-78-Gas=50000-16          	     549	   2004399 ns/op	     50000 gas/op	        24.94 mgas/s	    7080 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-80-Gas=50000-16          	     681	   1622365 ns/op	     50000 gas/op	        30.81 mgas/s	    6422 B/op	      54 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-81-Gas=50000-16          	 1127146	       972.3 ns/op	     50000 gas/op	     51426 mgas/s	     176 B/op	       4 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-82-Gas=50000-16          	     746	   1805486 ns/op	     50000 gas/op	        27.69 mgas/s	    6716 B/op	      56 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-83-Gas=50000-16          	     516	   1985610 ns/op	     50000 gas/op	        25.18 mgas/s	    7090 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-84-Gas=50000-16          	     492	   2158025 ns/op	     50000 gas/op	        23.16 mgas/s	    7033 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-85-Gas=50000-16          	 1365210	      1084 ns/op	     50000 gas/op	     46114 mgas/s	     176 B/op	       4 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-86-Gas=50000-16          	    5655	    253733 ns/op	     50000 gas/op	       197.0 mgas/s	     961 B/op	      17 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-87-Gas=50000-16          	    4513	    251735 ns/op	     50000 gas/op	       198.6 mgas/s	     961 B/op	      17 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-88-Gas=50000-16          	    8107	    267858 ns/op	     50000 gas/op	       186.7 mgas/s	     961 B/op	      17 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-89-Gas=50000-16          	     630	   1840685 ns/op	     50000 gas/op	        27.16 mgas/s	    7031 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-90-Gas=50000-16          	     714	   1544217 ns/op	     50000 gas/op	        32.37 mgas/s	    6421 B/op	      54 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-91-Gas=50000-16          	     656	   1957801 ns/op	     50000 gas/op	        25.53 mgas/s	    7082 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-92-Gas=50000-16          	    4558	    235578 ns/op	     50000 gas/op	       212.2 mgas/s	     960 B/op	      17 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-93-Gas=50000-16          	     619	   1871647 ns/op	     50000 gas/op	        26.71 mgas/s	    7079 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-94-Gas=50000-16          	     564	   1942148 ns/op	     50000 gas/op	        25.74 mgas/s	    7080 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-95-Gas=50000-16          	    5229	    195091 ns/op	     50000 gas/op	       232.4 mgas/s	     961 B/op	      17 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-96-Gas=50000-16          	     540	   2069177 ns/op	     50000 gas/op	        24.16 mgas/s	    7080 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-97-Gas=50000-16          	     679	   1809913 ns/op	     50000 gas/op	        27.62 mgas/s	    6901 B/op	      59 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-98-Gas=50000-16          	    4693	    238142 ns/op	     50000 gas/op	       209.9 mgas/s	     960 B/op	      17 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-99-Gas=50000-16          	    4911	    236055 ns/op	     50000 gas/op	       211.8 mgas/s	     961 B/op	      17 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-100-Gas=50000-16         	     596	   1942095 ns/op	     50000 gas/op	        25.72 mgas/s	    7079 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-101-Gas=50000-16         	     728	   1939050 ns/op	     50000 gas/op	        25.78 mgas/s	    6971 B/op	      59 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-102-Gas=50000-16         	     632	   2106893 ns/op	     50000 gas/op	        23.73 mgas/s	    7079 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-103-Gas=50000-16         	     564	   1970031 ns/op	     50000 gas/op	        25.38 mgas/s	    7080 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-104-Gas=50000-16         	     550	   2082822 ns/op	     50000 gas/op	        24.00 mgas/s	    7080 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-105-Gas=50000-16         	     682	   1942398 ns/op	     50000 gas/op	        25.74 mgas/s	    6901 B/op	      59 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-106-Gas=50000-16         	     657	   1830646 ns/op	     50000 gas/op	        27.31 mgas/s	    6894 B/op	      59 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-107-Gas=50000-16         	     547	   1946630 ns/op	     50000 gas/op	        25.68 mgas/s	    7080 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-108-Gas=50000-16         	     584	   1927234 ns/op	     50000 gas/op	        25.94 mgas/s	    7079 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-109-Gas=50000-16         	     691	   1758262 ns/op	     50000 gas/op	        28.43 mgas/s	    6901 B/op	      59 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-110-Gas=50000-16         	     614	   2071264 ns/op	     50000 gas/op	        24.13 mgas/s	    7078 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-111-Gas=50000-16         	    5196	    250962 ns/op	     50000 gas/op	       199.2 mgas/s	     961 B/op	      17 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-112-Gas=50000-16         	    4940	    225410 ns/op	     50000 gas/op	       221.8 mgas/s	     961 B/op	      17 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-113-Gas=50000-16         	     688	   1904753 ns/op	     50000 gas/op	        26.25 mgas/s	    7084 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-114-Gas=50000-16         	    4850	    236798 ns/op	     50000 gas/op	       211.2 mgas/s	     960 B/op	      17 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-115-Gas=50000-16         	 1000000	      1041 ns/op	     50000 gas/op	     48030 mgas/s	     240 B/op	       5 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-116-Gas=50000-16         	     597	   1992675 ns/op	     50000 gas/op	        25.09 mgas/s	    7031 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-117-Gas=50000-16         	   51823	     23519 ns/op	     50000 gas/op	      2126 mgas/s	     240 B/op	       5 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-118-Gas=50000-16         	     614	   1860117 ns/op	     50000 gas/op	        26.88 mgas/s	    7078 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-119-Gas=50000-16         	     691	   1796829 ns/op	     50000 gas/op	        27.82 mgas/s	    6901 B/op	      59 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-120-Gas=50000-16         	     704	   1738933 ns/op	     50000 gas/op	        28.75 mgas/s	    6899 B/op	      59 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-121-Gas=50000-16         	     486	   2075090 ns/op	     50000 gas/op	        24.09 mgas/s	    6969 B/op	      59 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-122-Gas=50000-16         	     562	   1859386 ns/op	     50000 gas/op	        26.89 mgas/s	    6968 B/op	      59 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-123-Gas=50000-16         	   10000	    118083 ns/op	     50000 gas/op	       423.4 mgas/s	     592 B/op	      11 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-124-Gas=50000-16         	    8691	    135621 ns/op	     50000 gas/op	       368.7 mgas/s	     609 B/op	      11 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-125-Gas=50000-16         	     686	   1881781 ns/op	     50000 gas/op	        26.57 mgas/s	    6710 B/op	      56 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-126-Gas=50000-16         	     582	   2787865 ns/op	     50000 gas/op	        17.93 mgas/s	    7079 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-127-Gas=50000-16         	    3915	    379665 ns/op	     50000 gas/op	       131.6 mgas/s	     961 B/op	      17 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-128-Gas=50000-16         	     363	   3444818 ns/op	     50000 gas/op	        14.51 mgas/s	    7083 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-129-Gas=50000-16         	    4137	    314453 ns/op	     50000 gas/op	       159.0 mgas/s	     960 B/op	      17 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-130-Gas=50000-16         	     445	   3059012 ns/op	     50000 gas/op	        16.34 mgas/s	    7082 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-131-Gas=50000-16         	     356	   2910708 ns/op	     50000 gas/op	        17.17 mgas/s	    6972 B/op	      59 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-132-Gas=50000-16         	    3972	    288309 ns/op	     50000 gas/op	       173.4 mgas/s	     961 B/op	      17 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-133-Gas=50000-16         	     504	   2593394 ns/op	     50000 gas/op	        19.27 mgas/s	    6968 B/op	      59 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-134-Gas=50000-16         	     447	   2262616 ns/op	     50000 gas/op	        22.09 mgas/s	    7034 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-135-Gas=50000-16         	     601	   1853593 ns/op	     50000 gas/op	        26.97 mgas/s	    7079 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-136-Gas=50000-16         	     675	   2292571 ns/op	     50000 gas/op	        21.80 mgas/s	    7084 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-137-Gas=50000-16         	     513	   2070064 ns/op	     50000 gas/op	        24.15 mgas/s	    7080 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-138-Gas=50000-16         	     615	   2232545 ns/op	     50000 gas/op	        22.39 mgas/s	    7079 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-139-Gas=50000-16         	     600	   2330202 ns/op	     50000 gas/op	        21.45 mgas/s	    6894 B/op	      59 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-140-Gas=50000-16         	     537	   2029171 ns/op	     50000 gas/op	        24.64 mgas/s	    7080 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-141-Gas=50000-16         	     703	   1797447 ns/op	     50000 gas/op	        27.81 mgas/s	    6422 B/op	      54 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-142-Gas=50000-16         	     482	   2181784 ns/op	     50000 gas/op	        22.91 mgas/s	    7081 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-143-Gas=50000-16         	     309	   3386860 ns/op	     50000 gas/op	        14.76 mgas/s	    7086 B/op	      60 allocs/op
BenchmarkPrecompiledPointEvaluationFail/fuzzcorp-144-Gas=50000-16         	    8710	    143510 ns/op	     50000 gas/op	       348.4 mgas/s	     593 B/op	      11 allocs/op
