goos: windows
goarch: amd64
pkg: github.com/ethereum/go-ethereum/core/vm/runtime
cpu: 11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz
BenchmarkBytecodePrecompile/EcRecover/ValidKey-16         	   18043	     81447 ns/op	      3000 nominalGas/op	    7813 B/op	      79 allocs/op
BenchmarkBytecodePrecompile/EcRecover/ValidKey-16         	   14425	     79019 ns/op	      3000 nominalGas/op	    7816 B/op	      79 allocs/op
BenchmarkBytecodePrecompile/EcRecover/ValidKey-16         	   17589	     68102 ns/op	      3000 nominalGas/op	    7813 B/op	      79 allocs/op
BenchmarkBytecodePrecompile/EcRecover/ValidKey-16         	   17347	     66951 ns/op	      3000 nominalGas/op	    7813 B/op	      79 allocs/op
BenchmarkBytecodePrecompile/EcRecover/ValidKey-16         	   15392	     84004 ns/op	      3000 nominalGas/op	    7812 B/op	      79 allocs/op
BenchmarkBytecodePrecompile/EcRecover/ValidKey-16         	   14470	     83318 ns/op	      3000 nominalGas/op	    7812 B/op	      79 allocs/op
BenchmarkBytecodePrecompile/EcRecover/ValidKey-16         	   13796	     85282 ns/op	      3000 nominalGas/op	    7814 B/op	      79 allocs/op
BenchmarkBytecodePrecompile/EcRecover/ValidKey-16         	   14958	     82992 ns/op	      3000 nominalGas/op	    7814 B/op	      79 allocs/op
BenchmarkBytecodePrecompile/EcRecover/ValidKey-16         	   14486	     81731 ns/op	      3000 nominalGas/op	    7814 B/op	      79 allocs/op
BenchmarkBytecodePrecompile/EcRecover/ValidKey-16         	   13620	     82259 ns/op	      3000 nominalGas/op	    7813 B/op	      79 allocs/op
BenchmarkBytecodePrecompile/Bn256Add/Bn256Add-Valid-16    	   37692	     35112 ns/op	       150.0 nominalGas/op	    7829 B/op	      88 allocs/op
BenchmarkBytecodePrecompile/Bn256Add/Bn256Add-Valid-16    	   35072	     32979 ns/op	       150.0 nominalGas/op	    7829 B/op	      88 allocs/op
BenchmarkBytecodePrecompile/Bn256Add/Bn256Add-Valid-16    	   34554	     33615 ns/op	       150.0 nominalGas/op	    7832 B/op	      88 allocs/op
BenchmarkBytecodePrecompile/Bn256Add/Bn256Add-Valid-16    	   37101	     33845 ns/op	       150.0 nominalGas/op	    7830 B/op	      88 allocs/op
BenchmarkBytecodePrecompile/Bn256Add/Bn256Add-Valid-16    	   35396	     32284 ns/op	       150.0 nominalGas/op	    7830 B/op	      88 allocs/op
BenchmarkBytecodePrecompile/Bn256Add/Bn256Add-Valid-16    	   35593	     32587 ns/op	       150.0 nominalGas/op	    7830 B/op	      88 allocs/op
BenchmarkBytecodePrecompile/Bn256Add/Bn256Add-Valid-16    	   40219	     33661 ns/op	       150.0 nominalGas/op	    7830 B/op	      88 allocs/op
BenchmarkBytecodePrecompile/Bn256Add/Bn256Add-Valid-16    	   37704	     33030 ns/op	       150.0 nominalGas/op	    7830 B/op	      88 allocs/op
BenchmarkBytecodePrecompile/Bn256Add/Bn256Add-Valid-16    	   36687	     32891 ns/op	       150.0 nominalGas/op	    7831 B/op	      88 allocs/op
BenchmarkBytecodePrecompile/Bn256Add/Bn256Add-Valid-16    	   36850	     32467 ns/op	       150.0 nominalGas/op	    7831 B/op	      88 allocs/op
BenchmarkBytecodePrecompile/Bn256Mul/Bn256Mul-Valid-16    	    9448	    119361 ns/op	      6000 nominalGas/op	    8498 B/op	     100 allocs/op
BenchmarkBytecodePrecompile/Bn256Mul/Bn256Mul-Valid-16    	    9607	    110789 ns/op	      6000 nominalGas/op	    8498 B/op	     100 allocs/op
BenchmarkBytecodePrecompile/Bn256Mul/Bn256Mul-Valid-16    	   10000	    111575 ns/op	      6000 nominalGas/op	    8502 B/op	     100 allocs/op
BenchmarkBytecodePrecompile/Bn256Mul/Bn256Mul-Valid-16    	   10000	    115572 ns/op	      6000 nominalGas/op	    8499 B/op	     100 allocs/op
BenchmarkBytecodePrecompile/Bn256Mul/Bn256Mul-Valid-16    	   10000	    115601 ns/op	      6000 nominalGas/op	    8503 B/op	     100 allocs/op
BenchmarkBytecodePrecompile/Bn256Mul/Bn256Mul-Valid-16    	    9120	    111039 ns/op	      6000 nominalGas/op	    8499 B/op	     100 allocs/op
BenchmarkBytecodePrecompile/Bn256Mul/Bn256Mul-Valid-16    	   10000	    118462 ns/op	      6000 nominalGas/op	    8501 B/op	     100 allocs/op
BenchmarkBytecodePrecompile/Bn256Mul/Bn256Mul-Valid-16    	   10000	    115310 ns/op	      6000 nominalGas/op	    8499 B/op	     100 allocs/op
BenchmarkBytecodePrecompile/Bn256Mul/Bn256Mul-Valid-16    	    9304	    112469 ns/op	      6000 nominalGas/op	    8501 B/op	     100 allocs/op
BenchmarkBytecodePrecompile/Bn256Mul/Bn256Mul-Valid-16    	   10000	    112399 ns/op	      6000 nominalGas/op	    8497 B/op	     100 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-1-16         	     705	   1675096 ns/op	     79000 nominalGas/op	   62852 B/op	     574 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-1-16         	     727	   1673193 ns/op	     79000 nominalGas/op	   62846 B/op	     574 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-1-16         	     715	   1607761 ns/op	     79000 nominalGas/op	   62857 B/op	     574 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-1-16         	     729	   1680550 ns/op	     79000 nominalGas/op	   62853 B/op	     574 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-1-16         	     759	   1673569 ns/op	     79000 nominalGas/op	   62824 B/op	     574 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-1-16         	     771	   1630143 ns/op	     79000 nominalGas/op	   62853 B/op	     574 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-1-16         	     736	   1636545 ns/op	     79000 nominalGas/op	   62854 B/op	     574 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-1-16         	     729	   1658834 ns/op	     79000 nominalGas/op	   62822 B/op	     574 allocs/op
BenchmarkBytecodePrecompile/Bn256Pairing/Bn256Pairing-1-16         	     757	   1650435 ns/op	     79000 nominalGas/op	   62849 B/op	     574 allocs/op
