goos: linux
goarch: amd64
pkg: github.com/ethereum/go-ethereum/core/vm
BenchmarkPrecompiledEcrecover/-Gas=3000-6  	    7629	    157223 ns/op	      3000 gas/op	    1280 B/op	       9 allocs/op
BenchmarkPrecompiledEcrecover/-Gas=3000-6  	    7915	    150906 ns/op	      3000 gas/op	    1280 B/op	       9 allocs/op
BenchmarkPrecompiledEcrecover/-Gas=3000-6  	    8106	    157169 ns/op	      3000 gas/op	    1280 B/op	       9 allocs/op
BenchmarkPrecompiledEcrecover/-Gas=3000-6  	    7974	    149271 ns/op	      3000 gas/op	    1280 B/op	       9 allocs/op
BenchmarkPrecompiledEcrecover/-Gas=3000-6  	    8072	    149693 ns/op	      3000 gas/op	    1280 B/op	       9 allocs/op
BenchmarkPrecompiledEcrecover/-Gas=3000-6  	    8101	    149126 ns/op	      3000 gas/op	    1280 B/op	       9 allocs/op
BenchmarkPrecompiledEcrecover/-Gas=3000-6  	    7887	    156341 ns/op	      3000 gas/op	    1280 B/op	       9 allocs/op
BenchmarkPrecompiledEcrecover/-Gas=3000-6  	    8059	    149078 ns/op	      3000 gas/op	    1280 B/op	       9 allocs/op
BenchmarkPrecompiledEcrecover/-Gas=3000-6  	    8090	    151903 ns/op	      3000 gas/op	    1280 B/op	       9 allocs/op
BenchmarkPrecompiledEcrecover/-Gas=3000-6  	    8023	    149445 ns/op	      3000 gas/op	    1280 B/op	       9 allocs/op
BenchmarkPrecompiledSha256/128-Gas=108-6   	 2041315	       583 ns/op	       108 gas/op	      32 B/op	       1 allocs/op
BenchmarkPrecompiledSha256/128-Gas=108-6   	 2059058	       583 ns/op	       108 gas/op	      32 B/op	       1 allocs/op
BenchmarkPrecompiledSha256/128-Gas=108-6   	 2063816	       582 ns/op	       108 gas/op	      32 B/op	       1 allocs/op
BenchmarkPrecompiledSha256/128-Gas=108-6   	 2054521	       584 ns/op	       108 gas/op	      32 B/op	       1 allocs/op
BenchmarkPrecompiledSha256/128-Gas=108-6   	 2006179	       590 ns/op	       108 gas/op	      32 B/op	       1 allocs/op
BenchmarkPrecompiledSha256/128-Gas=108-6   	 2043031	       582 ns/op	       108 gas/op	      32 B/op	       1 allocs/op
BenchmarkPrecompiledSha256/128-Gas=108-6   	 2039332	       586 ns/op	       108 gas/op	      32 B/op	       1 allocs/op
BenchmarkPrecompiledSha256/128-Gas=108-6   	 2055289	       582 ns/op	       108 gas/op	      32 B/op	       1 allocs/op
BenchmarkPrecompiledSha256/128-Gas=108-6   	 2015623	       584 ns/op	       108 gas/op	      32 B/op	       1 allocs/op
BenchmarkPrecompiledSha256/128-Gas=108-6   	 2058583	       582 ns/op	       108 gas/op	      32 B/op	       1 allocs/op
BenchmarkPrecompiledRipeMD/128-Gas=1080-6  	  828050	      1461 ns/op	      1080 gas/op	     176 B/op	       3 allocs/op
BenchmarkPrecompiledRipeMD/128-Gas=1080-6  	  824434	      1456 ns/op	      1080 gas/op	     176 B/op	       3 allocs/op
BenchmarkPrecompiledRipeMD/128-Gas=1080-6  	  815463	      1454 ns/op	      1080 gas/op	     176 B/op	       3 allocs/op
BenchmarkPrecompiledRipeMD/128-Gas=1080-6  	  843397	      1459 ns/op	      1080 gas/op	     176 B/op	       3 allocs/op
BenchmarkPrecompiledRipeMD/128-Gas=1080-6  	  844550	      1462 ns/op	      1080 gas/op	     176 B/op	       3 allocs/op
BenchmarkPrecompiledRipeMD/128-Gas=1080-6  	  844968	      1451 ns/op	      1080 gas/op	     176 B/op	       3 allocs/op
BenchmarkPrecompiledRipeMD/128-Gas=1080-6  	  844702	      1448 ns/op	      1080 gas/op	     176 B/op	       3 allocs/op
BenchmarkPrecompiledRipeMD/128-Gas=1080-6  	  820854	      1442 ns/op	      1080 gas/op	     176 B/op	       3 allocs/op
BenchmarkPrecompiledRipeMD/128-Gas=1080-6  	  844560	      1468 ns/op	      1080 gas/op	     176 B/op	       3 allocs/op
BenchmarkPrecompiledRipeMD/128-Gas=1080-6  	  841149	      1466 ns/op	      1080 gas/op	     176 B/op	       3 allocs/op
BenchmarkPrecompiledIdentity/128-Gas=27-6  	65549888	        18.2 ns/op	        27.0 gas/op	       0 B/op	       0 allocs/op
BenchmarkPrecompiledIdentity/128-Gas=27-6  	65817124	        18.2 ns/op	        27.0 gas/op	       0 B/op	       0 allocs/op
BenchmarkPrecompiledIdentity/128-Gas=27-6  	65825294	        18.2 ns/op	        27.0 gas/op	       0 B/op	       0 allocs/op
BenchmarkPrecompiledIdentity/128-Gas=27-6  	66113108	        18.2 ns/op	        27.0 gas/op	       0 B/op	       0 allocs/op
BenchmarkPrecompiledIdentity/128-Gas=27-6  	66159900	        18.2 ns/op	        27.0 gas/op	       0 B/op	       0 allocs/op
BenchmarkPrecompiledIdentity/128-Gas=27-6  	65978652	        18.2 ns/op	        27.0 gas/op	       0 B/op	       0 allocs/op
BenchmarkPrecompiledIdentity/128-Gas=27-6  	65973588	        18.1 ns/op	        27.0 gas/op	       0 B/op	       0 allocs/op
BenchmarkPrecompiledIdentity/128-Gas=27-6  	65896435	        18.2 ns/op	        27.0 gas/op	       0 B/op	       0 allocs/op
BenchmarkPrecompiledIdentity/128-Gas=27-6  	65978974	        18.2 ns/op	        27.0 gas/op	       0 B/op	       0 allocs/op
BenchmarkPrecompiledIdentity/128-Gas=27-6  	66139839	        18.2 ns/op	        27.0 gas/op	       0 B/op	       0 allocs/op
BenchmarkPrecompiledModExp/eip_example1-Gas=13056-6         	   35862	     33726 ns/op	     13056 gas/op	    2688 B/op	      41 allocs/op
BenchmarkPrecompiledModExp/eip_example1-Gas=13056-6         	   35797	     33944 ns/op	     13056 gas/op	    2688 B/op	      41 allocs/op
BenchmarkPrecompiledModExp/eip_example1-Gas=13056-6         	   36141	     33417 ns/op	     13056 gas/op	    2688 B/op	      41 allocs/op
BenchmarkPrecompiledModExp/eip_example1-Gas=13056-6         	   35038	     34190 ns/op	     13056 gas/op	    2688 B/op	      41 allocs/op
BenchmarkPrecompiledModExp/eip_example1-Gas=13056-6         	   35730	     34690 ns/op	     13056 gas/op	    2688 B/op	      41 allocs/op
BenchmarkPrecompiledModExp/eip_example1-Gas=13056-6         	   35938	     33761 ns/op	     13056 gas/op	    2688 B/op	      41 allocs/op
BenchmarkPrecompiledModExp/eip_example1-Gas=13056-6         	   36060	     33360 ns/op	     13056 gas/op	    2688 B/op	      41 allocs/op
BenchmarkPrecompiledModExp/eip_example1-Gas=13056-6         	   35301	     33754 ns/op	     13056 gas/op	    2688 B/op	      41 allocs/op
BenchmarkPrecompiledModExp/eip_example1-Gas=13056-6         	   35719	     34022 ns/op	     13056 gas/op	    2688 B/op	      41 allocs/op
BenchmarkPrecompiledModExp/eip_example1-Gas=13056-6         	   36096	     34010 ns/op	     13056 gas/op	    2688 B/op	      41 allocs/op
BenchmarkPrecompiledModExp/eip_example2-Gas=13056-6         	  176343	      6836 ns/op	     13056 gas/op	     760 B/op	      17 allocs/op
BenchmarkPrecompiledModExp/eip_example2-Gas=13056-6         	  176818	      6819 ns/op	     13056 gas/op	     760 B/op	      17 allocs/op
BenchmarkPrecompiledModExp/eip_example2-Gas=13056-6         	  172742	      6778 ns/op	     13056 gas/op	     760 B/op	      17 allocs/op
BenchmarkPrecompiledModExp/eip_example2-Gas=13056-6         	  180853	      6796 ns/op	     13056 gas/op	     760 B/op	      17 allocs/op
BenchmarkPrecompiledModExp/eip_example2-Gas=13056-6         	  177264	      7095 ns/op	     13056 gas/op	     760 B/op	      17 allocs/op
BenchmarkPrecompiledModExp/eip_example2-Gas=13056-6         	  171094	      6889 ns/op	     13056 gas/op	     760 B/op	      17 allocs/op
BenchmarkPrecompiledModExp/eip_example2-Gas=13056-6         	  179770	      7013 ns/op	     13056 gas/op	     760 B/op	      17 allocs/op
BenchmarkPrecompiledModExp/eip_example2-Gas=13056-6         	  180591	      6742 ns/op	     13056 gas/op	     760 B/op	      17 allocs/op
BenchmarkPrecompiledModExp/eip_example2-Gas=13056-6         	  176850	      6909 ns/op	     13056 gas/op	     760 B/op	      17 allocs/op
BenchmarkPrecompiledModExp/eip_example2-Gas=13056-6         	  176244	      6852 ns/op	     13056 gas/op	     760 B/op	      17 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-square-Gas=204-6      	  652597	      1875 ns/op	       204 gas/op	    1184 B/op	      21 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-square-Gas=204-6      	  661876	      1845 ns/op	       204 gas/op	    1184 B/op	      21 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-square-Gas=204-6      	  647110	      2003 ns/op	       204 gas/op	    1184 B/op	      21 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-square-Gas=204-6      	  653766	      1832 ns/op	       204 gas/op	    1184 B/op	      21 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-square-Gas=204-6      	  652574	      1869 ns/op	       204 gas/op	    1184 B/op	      21 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-square-Gas=204-6      	  574036	      1836 ns/op	       204 gas/op	    1184 B/op	      21 allocs/op
BenchmarkPrecompiledModExp/nagydani-1-square-Gas=204-6      	  633310	      1842 ns/op	       204 gas/op	    1184 B/op	      21 allocs/op
